,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
191,sorong,97,ID,1575507977,90,-0.86,131.25,82.0,1.66
192,mwingi,70,KE,1575507978,91,-0.93,38.07,64.72,4.09
193,komsomolskiy,57,RU,1575507978,83,67.55,63.78,4.77,4.25
194,longyearbyen,75,NO,1575507978,74,78.22,15.63,28.4,43.62
195,lindsay,90,CA,1575507978,95,44.36,-78.74,33.8,9.17
196,moron,17,HT,1575507978,77,18.56,-74.26,79.5,6.8
197,woodstock,90,CA,1575507978,93,43.13,-80.75,35.01,11.41
198,sisimiut,100,GL,1575507978,74,66.94,-53.67,7.5,13.35
199,ostrovnoy,100,RU,1575507979,84,68.05,39.51,17.65,11.65
200,hambantota,75,LK,1575507979,100,6.12,81.12,75.2,5.82
201,koshurnikovo,91,RU,1575507979,96,54.3,93.39,11.75,2.64
202,bubaque,4,GW,1575507979,64,11.28,-15.83,83.79,14.2
203,marienburg,20,DE,1575507979,100,52.12,9.98,33.8,2.24
204,devonport,76,AU,1575507979,68,-41.18,146.36,59.0,17.0
205,letlhakane,100,BW,1575507979,73,-21.42,25.59,65.39,14.54
206,wyszkow,37,PL,1575507980,82,52.59,21.46,37.0,9.17
207,dryden,1,CA,1575507980,78,49.79,-92.84,14.0,4.7
208,hellvik,75,NO,1575507980,75,59.92,5.78,46.4,32.21
209,amahai,75,ID,1575507980,76,-3.31,129.0,82.36,4.36
210,qingquan,0,CN,1575507981,81,34.7,106.0,23.72,0.65
211,wanning,20,AT,1575507981,86,48.64,13.53,30.2,8.05
212,kemi,90,FI,1575507981,100,65.74,24.56,35.6,11.41
213,ulladulla,0,AU,1575507981,9,-35.36,150.48,86.0,29.97
214,vila franca do campo,20,PT,1575507981,67,37.72,-25.43,57.2,6.93
215,nantucket,90,US,1575507822,80,41.28,-70.1,37.99,3.36
216,pinawa,59,CA,1575507981,94,50.15,-95.88,22.01,2.86
217,shingu,75,JP,1575507981,57,33.72,135.99,50.0,10.29
218,muros,4,ES,1575507982,93,42.77,-9.06,50.0,5.82
219,bathsheba,3,BB,1575507982,81,13.22,-59.52,80.55,20.04
220,angatuba,87,BR,1575507883,94,-23.49,-48.41,68.94,7.92
221,khatanga,0,RU,1575507982,80,71.98,102.47,-29.07,9.44
222,guarapari,90,BR,1575507982,88,-20.67,-40.5,75.2,3.36
223,saint-joseph,77,FR,1575507982,81,43.56,6.97,52.0,4.7
224,pueblo nuevo,0,AR,1575507982,28,-32.93,-68.73,68.0,4.7
225,ambilobe,84,MG,1575507982,79,-13.19,49.05,75.65,7.02
226,luohe,98,CN,1575507983,37,33.57,114.03,39.06,4.32
227,awbari,95,LY,1575507983,21,26.59,12.77,64.51,4.34
228,chunan,0,CN,1575507983,57,24.53,110.55,42.42,1.92
229,dubti,74,ET,1575507983,52,11.74,41.09,76.28,3.87
230,tiksi,100,RU,1575507983,100,71.64,128.87,-29.99,3.47
231,banda aceh,94,ID,1575507983,88,5.56,95.32,73.56,4.68
232,haines junction,100,CA,1575507984,97,60.75,-137.51,-1.41,4.38
233,batagay-alyta,100,RU,1575507984,98,67.8,130.41,-27.94,2.82
234,viedma,14,AR,1575507984,68,-40.81,-62.99,53.55,4.41
235,mount isa,41,AU,1575507984,8,-20.73,139.49,95.0,9.17
236,araouane,19,ML,1575507984,33,18.9,-3.53,66.97,6.13
237,luanda,91,AO,1575507984,82,-8.83,13.24,78.94,11.54
238,tarauaca,14,BR,1575507985,72,-8.16,-70.77,78.49,2.15
239,nueva loja,2,EC,1575507985,85,0.08,-76.88,75.42,1.25
240,hofn,31,IS,1575507985,55,64.25,-15.21,37.35,24.61
241,teguise,40,ES,1575507985,93,29.06,-13.56,62.6,9.17
242,luancheng,16,CN,1575507985,92,37.88,114.65,28.4,11.18
243,saint george,90,GR,1575507985,87,39.45,22.34,44.6,4.7
244,abong mbang,0,CM,1575507985,57,3.98,13.18,68.86,2.15
245,marsh harbour,34,BS,1575507985,61,26.54,-77.06,69.1,13.53
246,sabang,89,PH,1575507986,86,13.8,121.11,82.0,1.01
247,pacific grove,90,US,1575507751,82,36.62,-121.92,59.0,4.7
248,smyshlyayevka,100,RU,1575507986,88,53.75,47.73,23.04,11.27
249,murdochville,84,CA,1575507986,92,48.96,-65.49,16.92,2.59
250,pochutla,20,MX,1575507986,74,15.74,-96.47,80.6,2.01
251,ancud,74,CL,1575507986,76,-41.87,-73.83,53.6,10.29
252,wajir,45,KE,1575507986,55,1.75,40.07,83.52,7.87
253,namibe,15,AO,1575507987,82,-15.19,12.15,71.24,4.45
254,vila velha,40,BR,1575507987,69,-3.71,-38.6,82.4,9.17
255,sharjah,0,AE,1575507987,78,25.36,55.39,71.6,3.36
256,valentin gomez farias,5,MX,1575507987,13,24.05,-104.7,68.0,4.7
257,newport,90,GB,1575507871,86,51.59,-3.0,42.01,4.7
258,nesna,100,NO,1575507987,90,66.2,13.02,37.8,26.69
259,seoul,1,KR,1575507844,32,37.57,126.98,28.4,6.93
260,athabasca,98,CA,1575507983,96,54.72,-113.29,15.46,5.44
261,cabo san lucas,20,MX,1575507988,83,22.89,-109.91,75.0,10.29
262,broken hill,0,AU,1575507988,11,-31.97,141.45,82.4,3.36
263,nueve de julio,3,AR,1575507829,24,-31.67,-68.39,70.0,7.7
264,saint peters,1,US,1575507988,65,35.62,-89.39,50.0,6.53
265,lasa,75,CY,1575507988,68,34.92,32.53,68.0,16.11
266,brae,100,GB,1575507988,81,60.4,-1.35,46.4,38.03
267,imbituba,40,BR,1575507989,83,-28.24,-48.67,73.4,10.29
268,la paz,20,MX,1575507989,73,24.15,-110.32,71.6,4.7
269,codrington,0,AU,1575507989,12,-28.95,153.24,91.99,10.29
270,palu,100,ID,1575507989,89,-0.9,119.87,72.91,1.36
271,srednekolymsk,100,RU,1575507989,97,67.46,153.71,-13.67,10.56
272,nioro,45,GM,1575507989,23,13.79,-15.05,76.6,9.71
273,chincha alta,1,PE,1575507989,83,-13.42,-76.13,69.8,16.11
274,fukue,40,JP,1575507989,61,35.03,136.69,50.0,26.4
275,vermillion,1,US,1575507989,92,42.78,-96.93,37.4,3.33
276,petropavlovsk-kamchatskiy,40,RU,1575507990,78,53.05,158.65,12.2,4.47
277,kaohsiung,75,TW,1575507990,77,22.62,120.31,62.6,6.93
278,sao joao del rei,78,BR,1575507895,97,-21.14,-44.26,65.44,3.91
279,clyde river,90,CA,1575507990,76,70.47,-68.59,-9.4,9.17
280,oktyabrskiy,75,RU,1575507990,86,55.61,37.97,33.8,6.71
281,payakumbuh,64,ID,1575507990,98,-0.23,100.63,67.86,2.71
282,yerofey pavlovich,0,RU,1575507990,88,53.97,121.97,-20.63,4.12
283,manokwari,89,ID,1575507891,62,-0.87,134.08,80.56,3.24
284,urengoy,90,RU,1575507991,96,65.96,78.37,1.67,7.74
285,constitucion,5,MX,1575507991,13,23.99,-104.67,68.0,4.7
286,nuuk,49,GL,1575507991,67,64.17,-51.74,17.6,13.87
287,hastings,1,NZ,1575507780,56,-39.64,176.84,70.75,9.8
288,broome,0,GB,1575507991,90,52.47,1.45,36.0,6.93
289,abu zabad,0,SD,1575507991,27,12.35,29.25,67.06,13.71
290,malinyi,52,TZ,1575507992,85,-8.94,36.14,73.15,1.54
291,marystown,80,CA,1575507992,100,47.17,-55.16,41.0,3.0
292,guerrero negro,100,MX,1575507992,42,27.97,-114.04,72.09,3.44
293,staryy nadym,100,RU,1575507992,94,65.61,72.68,6.15,11.43
294,lompoc,90,US,1575507992,87,34.64,-120.46,60.8,6.93
295,pandan,100,PH,1575507993,78,11.72,122.09,80.85,4.0
296,monrovia,20,LR,1575507993,94,6.33,-10.8,78.8,8.39
297,sinop,100,TR,1575507993,66,42.03,35.15,44.55,9.28
298,ribeira grande,89,PT,1575507993,72,38.52,-28.7,58.93,2.37
299,ornskoldsvik,78,SE,1575507993,81,63.29,18.72,32.0,5.82
300,najran,20,SA,1575507994,58,17.54,44.22,55.4,1.45
301,elko,90,US,1575507854,86,40.83,-115.76,37.4,3.36
302,gardez,20,AF,1575507994,92,33.6,69.22,28.4,2.24
303,vadso,90,NO,1575507994,92,70.07,29.75,28.4,12.75
304,lumeje,100,AO,1575507994,93,-11.56,20.78,67.6,4.07
305,south lake tahoe,75,US,1575507890,98,38.93,-119.98,37.4,3.06
306,fortuna,90,US,1575507994,100,40.6,-124.16,54.0,8.05
307,itoman,75,JP,1575507995,72,26.12,127.67,62.6,11.41
308,san gabriel,90,US,1575507760,87,34.1,-118.11,62.6,5.82
309,okha,100,RU,1575507995,84,53.59,142.95,14.72,27.25
310,son la,8,VN,1575507933,77,21.32,103.9,46.38,0.92
311,sobolevo,100,RU,1575507995,95,54.43,31.9,36.16,10.38
312,pisco,1,PE,1575507995,83,-13.71,-76.2,69.8,16.11
313,timizart,31,DZ,1575507995,64,36.8,4.25,60.78,14.23
314,berdigestyakh,100,RU,1575507948,99,62.1,126.7,-21.26,3.18
315,ahipara,10,NZ,1575507995,86,-35.17,173.16,66.29,8.46
316,debre birhan,57,ET,1575507995,96,9.68,39.53,48.85,4.25
317,provost,100,CA,1575507995,91,52.35,-110.26,22.8,4.59
318,leshan,84,CN,1575507995,72,29.56,103.76,46.06,3.36
319,thompson,90,CA,1575507781,85,55.74,-97.86,14.0,6.93
320,nanortalik,100,GL,1575507996,37,60.14,-45.24,24.71,8.08
321,lebyazhye,90,RU,1575507996,93,59.96,29.42,39.99,13.42
322,norman wells,40,CA,1575507996,74,65.28,-126.83,-25.6,4.7
323,saint-francois,14,FR,1575507996,92,46.42,3.91,28.4,1.97
324,aykhal,87,RU,1575507996,57,65.95,111.51,-41.8,4.47
325,ovre ardal,100,NO,1575507997,98,61.32,7.8,25.39,11.56
326,san pedro,34,AR,1575507997,38,-33.68,-59.66,59.0,1.99
327,bethel,1,US,1575507998,84,60.79,-161.76,5.0,4.7
328,tura,73,RU,1575508000,90,64.27,100.22,-9.47,5.28
329,ostrozska nova ves,1,CZ,1575508002,86,49.0,17.44,30.0,8.05
330,stropkov,90,SK,1575508002,100,49.2,21.65,27.0,4.7
331,mahebourg,20,MU,1575508002,88,-20.41,57.7,75.0,3.36
332,pathein,75,MM,1575508003,82,16.78,94.73,71.91,9.1
333,portland,90,US,1575508003,86,43.66,-70.25,30.99,13.85
334,rio grande,85,BR,1575507853,85,-32.03,-52.1,70.18,1.36
335,merauke,53,ID,1575508003,49,-8.49,140.4,94.19,0.98
336,sorland,100,NO,1575508003,73,67.67,12.69,43.88,43.53
337,gorele,75,TR,1575508003,70,41.03,39.0,46.4,9.17
338,nikolayevka,0,RU,1575508003,68,46.73,38.57,30.61,5.82
339,lorengau,51,PG,1575508003,72,-2.02,147.27,83.57,3.71
340,pak phanang,75,TH,1575508003,100,8.35,100.2,73.4,6.53
341,ondo,95,NG,1575508003,88,7.1,4.83,75.45,0.94
342,fuerte olimpo,71,BR,1575508003,53,-21.04,-57.87,86.81,10.27
343,safranbolu,100,TR,1575507731,96,41.25,32.69,31.32,3.44
344,san juan,3,AR,1575508004,24,-31.54,-68.53,70.0,7.7
345,tessalit,26,ML,1575508004,25,20.2,1.01,66.74,8.61
346,marrakesh,75,MA,1575508004,87,31.63,-7.99,53.6,2.24
347,sola,100,TZ,1575508004,95,-3.17,33.8,64.67,2.91
348,khorramshahr,0,IR,1575508004,87,30.43,48.18,57.2,2.24
349,san ignacio,82,PE,1575508004,95,-5.15,-79.0,63.82,1.57
350,maltahohe,100,NA,1575508005,57,-24.83,16.98,63.79,7.36
351,mango,78,CF,1575508005,77,4.65,22.36,68.54,0.51
352,meulaboh,67,ID,1575508005,83,4.14,96.13,80.24,8.1
353,matagami,2,NG,1575508005,47,9.67,8.4,69.62,3.49
354,takoradi,15,GH,1575508005,85,4.89,-1.75,80.71,8.61
355,meridian,81,US,1575507957,100,43.61,-116.39,39.2,5.66
356,saint-augustin,90,CA,1575508005,99,45.63,-73.98,33.01,4.7
357,rocha,83,UY,1575507926,86,-34.48,-54.34,58.32,4.16
358,eregli,100,TR,1575508006,93,37.51,34.05,36.9,8.84
359,adrar,0,DZ,1575508006,40,27.87,-0.29,53.6,9.17
360,urucui,66,BR,1575508006,78,-7.23,-44.56,75.72,1.39
361,hamilton,90,CA,1575508006,90,43.26,-79.87,37.4,10.29
362,ambon,90,FR,1575508006,84,47.55,-2.56,35.01,8.05
363,petauke,39,ZM,1575508006,75,-14.25,31.33,68.86,9.28
364,moree,0,AU,1575508006,11,-29.46,149.84,86.0,14.99
365,manavalakurichi,75,IN,1575508007,94,8.13,77.3,78.8,31.94
366,chapais,90,CA,1575508007,92,49.78,-74.86,23.0,3.36
367,dwarka,20,IN,1575508007,87,28.58,77.04,66.99,1.12
368,kendari,100,ID,1575508007,73,-3.99,122.52,83.82,3.94
369,shelburne,90,CA,1575508007,89,44.08,-80.2,35.01,3.36
370,marawi,97,PH,1575508007,73,8.0,124.29,84.0,4.0
371,columbus,1,US,1575507868,50,32.46,-84.99,53.6,3.36
372,staszow,0,PL,1575508007,75,50.56,21.17,28.99,4.0
373,domna,10,RU,1575508008,67,51.9,113.16,-27.4,2.24
374,ibaiti,74,BR,1575508008,99,-23.85,-50.19,71.01,4.0
375,marzuq,3,YE,1575508008,43,14.4,46.47,54.45,2.17
376,nikolskoye,90,RU,1575508008,93,59.7,30.79,39.99,13.42
377,tupancireta,80,BR,1575508008,63,-29.08,-53.84,71.02,14.38
378,hirara,75,JP,1575508008,88,24.8,125.28,64.4,19.46
379,caravelas,100,BR,1575508009,98,-17.73,-39.27,73.0,3.98
380,pitimbu,83,BR,1575508009,83,-7.47,-34.81,77.0,3.36
381,baraboo,1,US,1575508009,74,43.47,-89.74,35.6,12.15
382,chipinge,93,ZW,1575508009,90,-20.19,32.62,63.46,7.27
383,owensboro,1,US,1575508009,70,37.77,-87.11,46.4,4.7
384,perisani,0,RO,1575508010,92,45.38,24.4,21.2,2.24
385,acas,87,PE,1575508010,83,-10.46,-77.33,59.32,1.95
386,atar,0,MR,1575508010,40,20.52,-13.05,61.47,6.46
